sample	read_num	uniq_num	unmap	rRNA	spikein	univec	pri_miRNA	lncRNA	mRNA	piRNA	snoRNA	snRNA	srpRNA	tRNA	tucpRNA	Y_RNA	intron_for	intron_rev	promoter_for	promoter_rev	enhancer_for	enhancer_rev	repeats_for	repeats_rev	passQC	mir_dup_ratio	mir_rmdup_num	QCrankSum
SAMN03863403	5e+06	1068248	0.06997	0.1477948	9.6e-06	0.0009756	0.3162012	0.0218822	0.0017296	0.2761176	0.0001432	0.0023	2.06e-05	0.1411148	0.0008754	0.011637	0.0006768	0.0011292	0.0008242	0.0007996	0.001642	0.0023188	0.0009678	0.00087	TRUE	0.998857056835964	1807	635
SAMN03863404	3957444	803524	0.0932518565013175	0.184243163011277	2.42580817315419e-05	0.0114682608269378	0.287625295519027	0.0234032370388564	0.004467782740577	0.26466451578342	0.000164752805093389	0.00338374971319872	2.90591604075762e-05	0.0919229684614615	0.00197425408925559	0.00907808171132681	0.00248973832605086	0.0038600672555316	0.00276339981058481	0.00181506042789235	0.00522660585974179	0.00441800313535706	0.00183729700281293	0.00188859273814108	TRUE	0.998438846626565	1777	472
SAMN03863405	5e+06	1144014	0.1286882	0.3093868	7.48e-05	0.0323538	0.3374272	0.0171504	0.0114278	0.0714494	0.0002592	0.0089646	5.82e-05	0.0166594	0.0048686	0.0065016	0.0057816	0.009633	0.006923	0.0037216	0.0130502	0.0088908	0.003199	0.0035308	TRUE	0.998897539973067	1860	560
SAMN03863406	5e+06	996100	0.1700526	0.2098116	3.44e-05	0.0146196	0.2638716	0.0198486	0.006415	0.1785038	0.0001852	0.006048	4.56e-05	0.0729608	0.002792	0.010657	0.0046962	0.0066228	0.0050164	0.0032588	0.0095612	0.008813	0.0030684	0.0031174	TRUE	0.9984795635453	2006	531
SAMN03863407	5e+06	1097929	0.0805198	0.2452672	1.96e-05	0.0341014	0.361517	0.0156152	0.0048688	0.1714904	0.0002066	0.0040368	5.32e-05	0.051025	0.0021474	0.0095458	0.0016538	0.0030718	0.0023244	0.0014028	0.004338	0.004306	0.001098	0.001391	TRUE	0.998878614283699	2027	318
SAMN03863408	5e+06	927539	0.1129692	0.1785504	4.08e-05	0.0484158	0.2271418	0.0251854	0.0043406	0.2494298	0.0001576	0.0035172	2.88e-05	0.1136474	0.0019294	0.0085834	0.002633	0.0039256	0.0031368	0.0021814	0.0052988	0.0050992	0.0019568	0.0018308	TRUE	0.998424772542967	1789	398
SAMN03863409	5e+06	958048	0.107645	0.1702646	1.94e-05	0.009148	0.2384646	0.0269828	0.003645	0.2709532	0.0001356	0.0029596	2.9e-05	0.137339	0.0016144	0.0084044	0.0023562	0.0033502	0.002319	0.0018706	0.0045326	0.0044536	0.0017304	0.0017828	TRUE	0.99848363237143	1808	415
SAMN03863410	5e+06	982726	0.0943918	0.156103	1.94e-05	0.0187146	0.2547862	0.027456	0.0035824	0.2958574	0.0001386	0.0021518	2.94e-05	0.1152862	0.0016268	0.0093568	0.002113	0.0031442	0.0021718	0.0016522	0.0043122	0.0036338	0.0016452	0.0018272	TRUE	0.998532102602103	1870	648
SAMN03863411	5e+06	956365	0.1168952	0.2664744	2.88e-05	0.0050714	0.2301308	0.0183804	0.0051266	0.2056528	0.0001912	0.0059386	5.04e-05	0.100308	0.0023594	0.0151652	0.0026302	0.004083	0.0030668	0.00192	0.0061178	0.0063686	0.0018358	0.0022046	TRUE	0.998399171253913	1842	377
SAMN03863412	5e+06	944985	0.1741526	0.2085358	3.42e-05	0.0035492	0.2372804	0.0191134	0.0046818	0.206723	0.0001822	0.0053506	4.3e-05	0.0922706	0.002158	0.0112516	0.0033598	0.004645	0.0039376	0.0026036	0.0072156	0.007634	0.0025656	0.0027124	TRUE	0.998417062681958	1878	285
SAMN03863413	5e+06	1059781	0.119275	0.215174	3.14e-05	0.0124588	0.2957518	0.018756	0.0056072	0.1999606	0.0001794	0.0036928	4.56e-05	0.0842392	0.002484	0.0113116	0.0031828	0.0048698	0.0034596	0.0022342	0.0068466	0.0060334	0.0020406	0.0023656	TRUE	0.998655629483912	1988	346
SAMN03863414	5e+06	1066527	0.1518596	0.181181	2.98e-05	0.0203292	0.2695734	0.0173524	0.0050476	0.2184042	0.0001302	0.0027376	3.64e-05	0.08804	0.0021964	0.0094562	0.0033208	0.0048812	0.003802	0.0023774	0.0071564	0.007156	0.0023056	0.0026266	TRUE	0.998633396321744	1842	461
SAMN03863415	5e+06	931843	0.1032798	0.1737072	2.22e-05	0.0200376	0.2434126	0.0271428	0.0035126	0.2499424	0.0001548	0.0034312	2.4e-05	0.1463204	0.0014484	0.0082892	0.0020746	0.0030556	0.0019502	0.0015854	0.0039544	0.0036352	0.0014958	0.0015236	TRUE	0.998466800814748	1866	712
SAMN03863416	5e+06	999011	0.1066888	0.193181	2.5e-05	0.0098112	0.2476588	0.0257494	0.004115	0.2519066	0.0001728	0.0031106	3.12e-05	0.1201382	0.001777	0.0117114	0.002472	0.0037408	0.002496	0.0019636	0.0049628	0.004636	0.001793	0.0018588	TRUE	0.998317846973336	2083	293
SAMN03863417	5e+06	964239	0.1198954	0.2406342	3.72e-05	0.057299	0.248022	0.0186212	0.0051604	0.1854612	0.0001886	0.0058292	5e-05	0.0758808	0.002386	0.0102374	0.0028134	0.0045366	0.0033106	0.0020704	0.006636	0.0065506	0.0020222	0.0023576	TRUE	0.998532388255881	1820	437
SAMN03863418	5e+06	910098	0.172126	0.209101	2.3e-05	0.0237734	0.225861	0.0203198	0.0040866	0.198873	0.0001512	0.00502	3.86e-05	0.0944254	0.0018728	0.0137424	0.0029634	0.0041492	0.003303	0.0021206	0.0064052	0.0068182	0.002369	0.0024572	TRUE	0.998391931320591	1816	610
SAMN03863419	5e+06	936516	0.1170084	0.2390534	3.3e-05	0.0732242	0.2309552	0.01927	0.0053722	0.2007066	0.0001632	0.0034966	4.94e-05	0.0710648	0.0023652	0.0087596	0.0027144	0.0044288	0.0032044	0.0019206	0.0061618	0.0060932	0.0017954	0.0021596	TRUE	0.998410081262513	1836	389
SAMN03863420	5e+06	956232	0.089106	0.2744948	2.22e-05	0.009678	0.2670772	0.0169052	0.004945	0.209475	0.0002538	0.0042652	5.98e-05	0.0861998	0.0018374	0.0126742	0.0019138	0.0031922	0.0025078	0.0018788	0.004523	0.0059506	0.0013986	0.0016416	TRUE	0.998628112021543	1832	565
SAMN03863421	5e+06	850299	0.1143852	0.1729084	2.14e-05	0.0483922	0.1711086	0.029797	0.0035522	0.2791496	0.000132	0.002741	3.2e-05	0.1450602	0.0015676	0.0095042	0.0023118	0.0032946	0.0022466	0.0016506	0.0043498	0.004297	0.0017208	0.0017772	TRUE	0.997910099200157	1788	559
SAMN03863422	5e+06	850725	0.123204	0.215108	4.46e-05	0.0695324	0.1905926	0.0240872	0.005583	0.2211698	0.0001876	0.0035976	3.6e-05	0.1021882	0.0024202	0.010701	0.0032364	0.0051124	0.0035316	0.0024672	0.0068688	0.0058678	0.0022888	0.0021748	TRUE	0.998100660781164	1810	671
SAMN03863423	5e+06	891249	0.1016182	0.174477	1.98e-05	0.0265566	0.187568	0.0311318	0.0034512	0.3030734	0.0001522	0.0027284	3.04e-05	0.1354392	0.0014866	0.0126558	0.0020466	0.002921	0.0020432	0.0016154	0.0039716	0.0038516	0.0015628	0.0015992	TRUE	0.998057237908385	1822	355
SAMN03863424	5e+06	969888	0.0745074	0.1656166	1.2e-05	0.0232518	0.2610228	0.0282098	0.0021386	0.2826842	0.0001538	0.0027322	2.48e-05	0.1188354	0.0010334	0.0293944	0.0008814	0.0013858	0.001109	0.000832	0.0019372	0.0023998	0.0009236	0.000914	TRUE	0.998487488449285	1974	701
SAMN03863425	5e+06	992806	0.1162496	0.2031196	2.96e-05	0.037588	0.2382224	0.0210596	0.0036516	0.2368028	0.000174	0.0046712	4.28e-05	0.1017746	0.0016788	0.0112788	0.0023048	0.0033572	0.0024192	0.0016056	0.0048732	0.0051874	0.001677	0.0022322	TRUE	0.998415766107637	1887	585
SAMN03863426	5e+06	985979	0.1837838	0.1825396	6.3e-05	0.0114128	0.262357	0.020742	0.0055128	0.190247	0.0001986	0.0057634	4.38e-05	0.0714656	0.002599	0.0208474	0.0044178	0.0059558	0.0047438	0.0031644	0.0091554	0.0082878	0.0033498	0.0033494	TRUE	0.998406751106317	2090	675
SAMN03863427	5e+06	1386316	0.0679274	0.1594254	1.2e-05	0.0166816	0.4184362	0.016438	0.001978	0.1945322	0.0001496	0.001854	2.4e-05	0.0692342	0.0009186	0.0420784	0.0008298	0.0012106	0.0012858	0.0006454	0.0018692	0.0026916	0.0006716	0.0011064	TRUE	0.998840444493091	2426	615
SAMN03863428	5e+06	981917	0.08804	0.2167708	1.94e-05	0.0132574	0.2954852	0.0145278	0.003222	0.2382002	0.0001628	0.0037234	4.28e-05	0.096708	0.0014696	0.0143274	0.0011898	0.0019714	0.0016618	0.0009492	0.0031446	0.0031432	0.000909	0.0010742	TRUE	0.998785049132748	1795	604
SAMN03863429	5e+06	839072	0.1068428	0.1725688	1.96e-05	0.0928278	0.1612132	0.0283288	0.0033348	0.2718442	0.0001284	0.0025762	3e-05	0.1315892	0.0014216	0.0070076	0.0021086	0.0030366	0.0020556	0.0015822	0.0039164	0.0042472	0.0015526	0.0017678	TRUE	0.997878585624502	1710	547
SAMN03863430	5e+06	905131	0.1146694	0.171584	3.14e-05	0.013372	0.2140418	0.0267066	0.003923	0.2589204	0.0001966	0.0027712	3.36e-05	0.133528	0.0017322	0.032911	0.0027532	0.0038004	0.0027708	0.0020968	0.0052608	0.0048072	0.0020316	0.002058	TRUE	0.998211564283238	1914	453
SAMN03863431	5e+06	909387	0.102078	0.1844864	1.96e-05	0.0206074	0.204937	0.0287602	0.0033534	0.2926834	0.0001656	0.0028058	2.72e-05	0.12811	0.0015344	0.0109512	0.0019398	0.0029194	0.0020886	0.0015334	0.0040244	0.0038488	0.0015974	0.0015286	TRUE	0.998247266233038	1796	663
SAMN03863432	5e+06	911816	0.104641	0.1364566	4.3e-05	0.0014154	0.22572	0.0278144	0.0015022	0.3052118	0.0001238	0.0021702	2.18e-05	0.1573318	0.0008512	0.023	0.0012562	0.001414	0.0011078	0.0011452	0.0025522	0.0033406	0.001419	0.0014618	TRUE	0.998411306042885	1793	371
SAMN03863433	5e+06	1025167	0.1273496	0.1713868	2.86e-05	0.034478	0.2667216	0.0190134	0.004127	0.234281	0.0002102	0.004306	4.08e-05	0.0923936	0.0021462	0.0155084	0.0028328	0.0040164	0.0030688	0.0018384	0.0060742	0.005459	0.002124	0.0025952	TRUE	0.998528053221036	1963	369
SAMN03863434	5e+06	974141	0.1317134	0.2153186	4.2e-05	0.0200222	0.2552236	0.0211874	0.0056086	0.2020654	0.0001824	0.00568	5.42e-05	0.085261	0.0026032	0.01964	0.0037588	0.0055186	0.003892	0.0024968	0.0078538	0.0066094	0.0025102	0.0027584	TRUE	0.998450770226578	1977	698
SAMN03863435	5e+06	1063970	0.1707766	0.158273	4.04e-05	0.0364134	0.2826454	0.0182888	0.005383	0.175579	0.0001328	0.0028446	3.88e-05	0.0865924	0.0025934	0.0233292	0.0038716	0.0056816	0.0040226	0.002471	0.0083318	0.0068348	0.002819	0.0030368	TRUE	0.998535974758478	2069	507
SAMN03863436	5e+06	1045002	0.1257658	0.1997522	4.1e-05	0.031015	0.2689258	0.0194652	0.0056504	0.2229688	0.0001532	0.0034092	5.78e-05	0.0709302	0.0024854	0.0164422	0.003386	0.0051546	0.0036128	0.002226	0.0072228	0.0062624	0.0022278	0.0028454	TRUE	0.99850590757748	2009	432
SAMN03863437	5e+06	866954	0.113515	0.1749336	2.38e-05	0.0563356	0.1856222	0.0283062	0.003834	0.2645482	0.0001474	0.0029594	3.34e-05	0.1377816	0.0016052	0.0074064	0.0025002	0.0035802	0.002359	0.0016748	0.0047276	0.0044204	0.00181	0.0018758	TRUE	0.998063809177997	1797	614
SAMN03863438	5e+06	864430	0.1164886	0.1800532	1.92e-05	0.0184358	0.1849358	0.0292396	0.003322	0.2777438	0.0001348	0.002913	3.22e-05	0.1494866	0.0014398	0.0150244	0.0021082	0.0030942	0.0021194	0.0016468	0.0041438	0.0042358	0.0016884	0.0016946	TRUE	0.99802093483252	1830	496
SAMN03863439	5e+06	924634	0.1116596	0.1569426	1.72e-05	0.007677	0.2251932	0.02853	0.0021692	0.2989238	0.0001318	0.0022884	2.62e-05	0.1394982	0.0012082	0.0091438	0.0015672	0.0020866	0.0015466	0.0013896	0.0032106	0.0038094	0.0015014	0.0014794	TRUE	0.998483968432439	1707	674
SAMN03863440	5e+06	929227	0.1153144	0.1690722	2.02e-05	0.0093444	0.2184356	0.0283868	0.0038588	0.2813998	0.0001386	0.0026686	2.74e-05	0.132525	0.0017406	0.0128912	0.0025456	0.0037056	0.0026054	0.0019384	0.0051838	0.0043488	0.0019482	0.0019006	TRUE	0.998323533343466	1831	362
SAMN03863441	5e+06	959299	0.1305416	0.2200336	2.82e-05	0.015251	0.2420492	0.018181	0.0041298	0.2133796	0.0001578	0.0050064	5.34e-05	0.1085512	0.001822	0.0143272	0.0023922	0.0035526	0.0025574	0.0018492	0.0053506	0.0058354	0.002645	0.0023056	TRUE	0.998436681468065	1892	519
SAMN03863442	5e+06	781361	0.185158	0.2013616	3.18e-05	0.0618672	0.1788078	0.0168666	0.0031822	0.207959	0.0001416	0.0043574	3.94e-05	0.099466	0.001444	0.0134386	0.0021614	0.0029874	0.0024612	0.0018784	0.0048924	0.006248	0.0029162	0.0023338	TRUE	0.998171220718559	1635	620
SAMN03863443	5e+06	1023656	0.1350452	0.2395816	4.58e-05	0.0158284	0.2455498	0.0191878	0.0061574	0.198768	0.0001796	0.0037786	6.8e-05	0.085683	0.0026904	0.0115554	0.0035112	0.0054934	0.003701	0.0024766	0.0076304	0.0071672	0.0031594	0.0027418	TRUE	0.998426388455621	1932	450
SAMN03863444	5e+06	967388	0.1054144	0.2527244	2.76e-05	0.0205062	0.2830912	0.0161738	0.0051354	0.2043184	0.0002158	0.0044438	6.06e-05	0.0702978	0.0020696	0.0140862	0.0017368	0.0030302	0.0024046	0.0015336	0.0046274	0.0041376	0.0024766	0.001488	TRUE	0.998634362353899	1933	673
SAMN03863445	5e+06	892660	0.1215386	0.184909	2.22e-05	0.0048042	0.1832284	0.0302594	0.0035076	0.2808898	0.0001512	0.0031776	4.18e-05	0.151731	0.0015106	0.0115538	0.0021592	0.0031962	0.0021506	0.0017476	0.0043028	0.0043146	0.0029608	0.001843	TRUE	0.998065802026323	1772	505
SAMN03863446	5e+06	987045	0.1524944	0.1801398	5.56e-05	0.012243	0.2030364	0.0254182	0.0072784	0.227871	0.0001492	0.0028234	5e-05	0.114244	0.0031812	0.023043	0.0052344	0.0075684	0.0053492	0.0036184	0.0103028	0.0077336	0.0047328	0.0034328	TRUE	0.998061431349256	1968	597
SAMN03863447	5e+06	955066	0.1176192	0.2011264	4.92e-05	0.0046594	0.236815	0.0228568	0.0044634	0.261902	0.0001996	0.0027742	3.48e-05	0.1039012	0.0020248	0.0138396	0.0026204	0.0037682	0.0029014	0.0021844	0.0055274	0.005091	0.003588	0.0020536	TRUE	0.998237442729557	2087	455
SAMN03863448	5e+06	975682	0.092943	0.1777846	1.36e-05	0.0098846	0.2617156	0.026364	0.0026452	0.2895472	0.0001562	0.0031338	3.74e-05	0.1087754	0.001221	0.0119438	0.0009964	0.0017128	0.0013038	0.0010098	0.0024442	0.0026658	0.0024312	0.0012706	TRUE	0.998529701706738	1924	155
SAMN03863449	5e+06	943189	0.1287246	0.2937634	6.38e-05	0.0788268	0.2437302	0.0168564	0.0080498	0.1207938	0.0002634	0.0068826	7.1e-05	0.0480856	0.0033682	0.0085468	0.0040964	0.006714	0.0049038	0.0029806	0.0093856	0.0081854	0.0028462	0.0028616	TRUE	0.998387561328059	1965	577
SAMN03863450	5e+06	985961	0.2019768	0.2014304	6.6e-05	0.0040064	0.2488534	0.0187478	0.00669	0.1686654	0.0002036	0.006078	5.72e-05	0.0701644	0.0028776	0.0216536	0.0049906	0.0067878	0.0053102	0.0035466	0.0103672	0.0095162	0.004493	0.0035178	TRUE	0.998345210473315	2059	379
SAMN03863451	5e+06	1003061	0.103309	0.2035722	1.98e-05	0.0089268	0.2502044	0.0177158	0.00303	0.257796	0.0001562	0.0029506	4.42e-05	0.1181492	0.0013074	0.014797	0.001268	0.002076	0.001543	0.0011904	0.003063	0.0050262	0.0020842	0.0017706	TRUE	0.998541992067286	1824	503
SAMN03863452	5e+06	992482	0.1101922	0.2319732	4.06e-05	0.0303972	0.282365	0.016034	0.00522	0.211803	0.0002604	0.0043656	6.46e-05	0.0647794	0.002253	0.0143852	0.0023142	0.0034276	0.0027754	0.0018084	0.0055782	0.0050764	0.0030356	0.0018508	TRUE	0.998594726683548	1984	503
SAMN03863453	5e+06	932395	0.1208328	0.1938514	2.74e-05	0.007016	0.1894056	0.0268914	0.0038592	0.2913468	0.0001696	0.0029802	4.46e-05	0.1294024	0.0016196	0.0088928	0.0021454	0.0033608	0.0022852	0.0017072	0.0044696	0.0044816	0.0032048	0.0020056	TRUE	0.99808136612645	1817	222
SAMN03863454	5e+06	887692	0.1382406	0.2339762	3.72e-05	0.033591	0.210809	0.0219776	0.0055222	0.2126562	0.0001828	0.0036858	4e-05	0.095603	0.002374	0.0085998	0.0031506	0.004964	0.0035086	0.0025438	0.006825	0.005804	0.0035952	0.0023134	TRUE	0.998265728692798	1828	418
SAMN03863455	5e+06	939695	0.1248802	0.1445786	1.8e-05	0.0059464	0.2249888	0.0282672	0.0027446	0.2886966	0.0001454	0.0022206	2.8e-05	0.1472848	0.0013246	0.0081566	0.0018104	0.0025982	0.0018224	0.0015966	0.0038652	0.0037252	0.0036104	0.0016912	TRUE	0.998455923139285	1737	359
SAMN03863456	5e+06	994091	0.118027	0.1600334	3.98e-05	0.0056458	0.2755386	0.0253344	0.0041546	0.2642506	0.0001512	0.0034006	3.72e-05	0.1042604	0.0017872	0.013064	0.0023306	0.0035116	0.0025274	0.0018578	0.004876	0.0041148	0.003238	0.001819	TRUE	0.998537410003535	2015	591
SAMN03863457	5e+06	955475	0.1314634	0.2114148	3.76e-05	0.0673654	0.2458926	0.0171222	0.004202	0.1850562	0.000178	0.0050936	4.88e-05	0.0925776	0.0020154	0.011035	0.00249	0.0036638	0.0026612	0.0018082	0.0055706	0.0055846	0.002397	0.002322	TRUE	0.99845949003752	1894	412
SAMN03863458	5e+06	981871	0.1280756	0.219621	3.46e-05	0.0409226	0.2723276	0.0177562	0.0054598	0.1783516	0.0001852	0.0059594	4.96e-05	0.0771686	0.0025186	0.0196426	0.0029664	0.0046006	0.0038028	0.002242	0.006848	0.0060836	0.0028784	0.0025052	TRUE	0.998562760439999	1957	579
SAMN03863459	5e+06	1015757	0.139404	0.2031078	3.64e-05	0.0411298	0.2581782	0.0202008	0.0057162	0.2030104	0.0001622	0.0034612	5.1e-05	0.08074	0.0024544	0.0091718	0.003322	0.0051306	0.003474	0.0022338	0.007136	0.0060162	0.0031802	0.002683	TRUE	0.998466950346699	1979	641
SAMN03863460	5e+06	1032912	0.1577136	0.1798466	3.42e-05	0.0024998	0.233669	0.0172238	0.0054496	0.216838	0.000182	0.0023414	5.34e-05	0.1285724	0.0022014	0.0157804	0.0035914	0.0056434	0.0037512	0.0026794	0.0075354	0.0072254	0.0038122	0.003356	TRUE	0.998353226144675	1924	651
SAMN03863461	5e+06	906686	0.1368624	0.166688	2.84e-05	0.0425314	0.2025966	0.027026	0.0042748	0.240184	0.0001324	0.0029308	3.6e-05	0.137169	0.001812	0.0100464	0.0028836	0.004169	0.0026956	0.0020148	0.0056058	0.004844	0.003334	0.002135	TRUE	0.998156928596038	1867	452
SAMN03863462	5e+06	928038	0.1404544	0.1611184	3.04e-05	0.0082494	0.2307894	0.0252112	0.0027888	0.2581558	0.0002764	0.0027886	3.52e-05	0.135459	0.0012748	0.0113478	0.0020092	0.0027136	0.0019838	0.0018268	0.0041334	0.0042436	0.003208	0.001902	TRUE	0.998385541103708	1863	461
SAMN03863463	5e+06	966117	0.1277084	0.174238	2.58e-05	0.0180604	0.239297	0.0254808	0.0039418	0.2616424	0.0001582	0.0028454	3.54e-05	0.1102864	0.001803	0.0094162	0.002366	0.0035516	0.0025084	0.001842	0.0050718	0.0042894	0.0034902	0.0019414	TRUE	0.998417865664843	1893	588
SAMN03863464	5e+06	893110	0.1283262	0.232912	3.58e-05	0.004294	0.2127242	0.023888	0.0044734	0.236264	0.000189	0.0032826	3.98e-05	0.1127778	0.0021164	0.0117614	0.0023934	0.0036788	0.002731	0.0024242	0.0055136	0.004994	0.0033136	0.0018668	TRUE	0.998278522142756	1831	552
SAMN03863465	5e+06	1101589	0.1163764	0.255896	5.08e-05	0.0056096	0.3132712	0.0200612	0.0070616	0.1719252	0.0002062	0.0073004	6.08e-05	0.0514306	0.0028832	0.0109976	0.0038328	0.0062854	0.004233	0.0025564	0.0084182	0.0063912	0.0023554	0.0027968	TRUE	0.998623556841484	2156	523
SAMN03863466	5e+06	1027870	0.1616432	0.2192116	4.6e-05	0.0077486	0.2904916	0.0189852	0.006564	0.1740976	0.0002488	0.0065526	5.24e-05	0.0569036	0.002784	0.0116556	0.0042276	0.0061818	0.0051728	0.0031824	0.0096224	0.008614	0.0029602	0.003054	TRUE	0.998556929012749	2096	448
SAMN03863467	5e+06	1060343	0.118651	0.2079456	2.92e-05	0.0102528	0.2731154	0.0201268	0.0042496	0.219199	0.0001754	0.003375	4.44e-05	0.1030486	0.0019134	0.0114038	0.0026652	0.003876	0.0026782	0.0019318	0.0057	0.0054036	0.0019174	0.0022978	TRUE	0.998579355100445	1940	399
SAMN03863468	5e+06	1040254	0.0847818	0.236457	2.54e-05	0.0190726	0.3227856	0.0163704	0.0039482	0.2014182	0.0002036	0.0040014	4.92e-05	0.0780962	0.0017126	0.0144374	0.0014346	0.0023976	0.0020204	0.0012248	0.003817	0.0034188	0.0010598	0.0012674	TRUE	0.998771320653709	1983	434
